address,number,open,available,free,total,ticket,updated_at,geo_shape,geo_point_2d,update_jcd
Doctor Waksman - Nieves,180,T,7,12,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3706833820688013, 39.45602126922772], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3706833820688013, 'lat': 39.45602126922772}",2025-06-14T11:57:14+00:00
Hospital Nueva Fe (consultas externas),188,T,9,31,40,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3751583239336074, 39.44462122517277], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3751583239336074, 'lat': 39.44462122517277}",2025-06-14T11:56:00+00:00
Cra. Malilla - Oltá,192,T,15,3,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3787144113919625, 39.45263726161547], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3787144113919625, 'lat': 39.45263726161547}",2025-06-14T12:00:11+00:00
Tres Cruces - Pio XI,250,T,12,3,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4008070181198941, 39.456352245577065], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4008070181198941, 'lat': 39.456352245577065}",2025-06-14T11:58:00+00:00
Dels Gremis - Campos Crespo,252,T,8,12,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40357449843597065, 39.45028826570709], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40357449843597065, 'lat': 39.45028826570709}",2025-06-14T11:59:48+00:00
"Plaza Luis Cano, 5",268,T,8,1,10,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.41849350927046264, 39.50144544298018], 'type': 'Point'}, 'properties': {}}","{'lon': -0.41849350927046264, 'lat': 39.50144544298018}",2025-06-14T11:55:06+00:00
Tres Forques - Turís,256,T,1,4,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39223544845537966, 39.46396330656933], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39223544845537966, 'lat': 39.46396330656933}",2025-06-14T11:53:12+00:00
Canal de Navarrés - Maestro Rodrigo,266,T,2,15,18,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40637147642320165, 39.49028940014262], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40637147642320165, 'lat': 39.49028940014262}",2025-06-14T11:53:43+00:00
Carteros - Mossen Febrer,208,T,10,10,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38857844617931064, 39.451692263769644], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38857844617931064, 'lat': 39.451692263769644}",2025-06-14T11:55:52+00:00
Tres Cruces - Músico Ayllón,247,T,15,0,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4055734914728698, 39.467410323935766], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4055734914728698, 'lat': 39.467410323935766}",2025-06-14T11:56:49+00:00
